AgeVaxH35.js:871 Mon Jan 18 2021 21:58:18 GMT-0800 (Pacific Standard Time)
AgeVaxH35.js:872 CovidSIMVL Mode1 and Mod2 Hybrid 35d
AgeVaxH35.js:873 Mode 1 >13 and <36 is 75%
AgeVaxH35.js:874 Mode 2 >28 is 95%; >13 and <29 is 75%
AgeVaxH35.js:4370 exit covidSim
AgeVaxH35.js:23 getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:32 File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:23 getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:32 File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:1696 New Hazard Radius = 1.5
AgeVaxH35.js:2202 1I j:ageGp:fam 851:6:-1 by blue 150:2:-1 at gen10 Univ0 prob=0.900
AgeVaxH35.js:2221 2I i:ageGp:fam 29:0:-1 by red 150:2:-1 at gen56 Univ0 prob=0.897
AgeVaxH35.js:2221 3I i:ageGp:fam 417:3:-1 by blue 851:6:-1 at gen72 Univ0 prob=0.424
AgeVaxH35.js:2221 4I i:ageGp:fam 136:2:-1 by red 851:6:-1 at gen127 Univ0 prob=0.692
AgeVaxH35.js:2221 5I i:ageGp:fam 179:2:-1 by blue 417:3:-1 at gen145 Univ0 prob=0.151
AgeVaxH35.js:2202 6I j:ageGp:fam 663:4:-1 by blue 29:0:-1 at gen151 Univ0 prob=0.022
AgeVaxH35.js:2221 7I i:ageGp:fam 638:4:-1 by red 851:6:-1 at gen153 Univ0 prob=0.735
AgeVaxH35.js:2221 8I i:ageGp:fam 192:2:-1 by red 851:6:-1 at gen174 Univ0 prob=0.052
AgeVaxH35.js:2202 9I j:ageGp:fam 628:4:-1 by red 150:2:-1 at gen185 Univ0 prob=0.904
AgeVaxH35.js:2202 10I j:ageGp:fam 550:4:-1 by red 417:3:-1 at gen187 Univ0 prob=0.936
AgeVaxH35.js:2202 11I j:ageGp:fam 915:7:-1 by red 29:0:-1 at gen190 Univ0 prob=0.017
AgeVaxH35.js:2202 12I j:ageGp:fam 588:4:-1 by blue 136:2:-1 at gen218 Univ0 prob=0.194
