Biter,start150,gen
0,606,440
0,464,454
1,355,447
2,702,712
3,926,493
4,259,643
5,457,548
5,645,565
6,296,641
8,560,657
9,274,349
9,89,409
10,552,554
11,244,504
11,680,585
15,143,582
16,197,688
17,487,591
18,532,496
18,569,504
18,500,541
22,905,623
23,114,468
25,777,623
25,517,647
26,587,600
26,887,615
28,850,430
28,29,548
31,220,581
34,327,652
34,748,674
34,511,683
37,436,410
38,739,466
40,10,446
40,999,487
42,279,509
44,475,332
44,40,372
46,620,511
48,47,822
49,439,543
50,776,545
51,987,442
51,344,452
51,192,482
51,177,490
53,214,563
53,957,582
53,127,594
53,956,626
54,549,376
54,188,466
55,25,525
55,534,535
59,738,423
59,31,424
59,898,426
60,974,536
62,319,462
62,404,565
63,221,566
65,377,601
66,394,354
68,528,443
68,992,444
68,70,456
68,931,511
68,674,563
69,96,488
70,520,574
70,663,609
70,254,660
71,766,318
71,840,338
71,830,341
71,977,350
71,18,385
71,868,413
72,396,580
74,530,534
74,870,538
75,815,289
75,168,311
75,547,409
75,933,411
75,745,430
76,772,607
76,981,631
80,577,668
81,946,712
83,68,366
83,121,366
83,861,435
83,921,437
85,885,543
85,216,630
86,348,605
88,806,620
88,797,632
90,864,276
90,997,333
90,834,380
91,469,652
92,468,614
93,944,396
93,615,458
93,238,479
94,410,678
94,293,695
95,886,513
95,368,585
96,39,555
96,683,558
96,105,633
97,998,445
97,53,475
97,731,477
98,502,525
98,829,526
99,722,190
99,311,222
99,156,232
99,686,250
99,295,257
99,571,293
99,558,331
101,430,522
104,685,321
104,307,434
104,550,437
104,891,448
105,235,822
106,631,344
106,634,397
106,825,449
109,655,287
109,66,289
109,837,310
109,862,310
109,666,372
109,443,375
109,578,385
110,935,576
110,137,580
113,969,543
114,637,614
115,882,494
116,811,662
117,116,483
117,411,499
117,326,543
118,211,240
118,44,284
118,3,332
118,873,362
119,8,546
119,730,573
119,414,585
119,247,607
120,640,252
120,879,270
120,786,297
120,595,327
120,49,390
121,229,422
123,422,675
124,35,518
128,373,480
128,857,484
128,440,491
128,333,576
129,452,620
130,854,485
131,959,557
138,2,571
139,343,189
139,109,190
139,785,190
139,893,261
139,432,262
139,142,277
139,728,278
139,484,291
139,505,309
139,773,312
141,925,307
141,858,387
141,934,420
142,852,372
149,73,538
150,166,7
166,972,81
166,574,85
166,380,110
166,915,131
166,352,158
166,118,176
166,545,195
167,27,447
167,836,477
167,846,487
167,17,504
184,971,456
189,435,327
211,42,404
226,329,270
226,512,295
226,167,314
230,884,358
230,994,383
230,26,483
233,961,445
233,33,518
234,922,457
255,74,366
274,876,468
279,990,656
295,808,317
295,55,452
298,995,648
309,61,466
309,869,515
311,97,318
311,110,380
318,976,306
318,648,331
318,881,438
329,910,404
337,911,536
343,521,283
343,798,307
343,765,312
343,37,315
343,338,318
343,874,321
343,466,326
343,914,331
346,108,681
352,424,230
352,486,235
352,104,272
352,516,327
352,126,377
352,23,393
355,849,552
360,954,407
360,833,427
373,12,588
380,120,200
380,590,203
380,758,234
380,71,237
380,638,252
380,916,292
380,415,310
383,822,417
388,932,353
390,576,292
390,393,318
393,943,490
394,860,454
399,79,501
406,602,245
406,759,264
406,510,289
406,384,303
414,960,704
415,11,386
416,45,792
424,67,289
424,835,322
424,538,335
424,973,349
436,975,513
451,941,272
451,704,289
451,781,299
451,967,299
451,467,317
451,732,320
464,94,543
471,847,561
478,828,640
484,978,340
484,85,415
484,927,439
484,824,456
484,985,472
485,48,712
486,233,311
491,900,389
491,117,396
495,184,320
495,989,368
495,838,401
499,41,408
505,903,506
521,1,360
521,951,433
538,6,429
538,102,474
545,875,336
545,95,371
550,77,642
553,901,669
565,318,253
565,902,255
565,723,301
571,845,449
571,88,517
574,99,139
574,890,156
574,565,158
574,406,167
574,139,187
574,75,221
574,189,244
574,141,253
574,101,288
574,843,314
578,899,575
586,871,503
590,13,289
590,499,330
590,379,335
592,112,580
592,16,593
595,859,449
595,894,479
602,929,361
602,821,362
625,832,542
627,62,402
627,60,414
627,937,467
632,388,290
632,428,291
632,752,324
632,945,423
634,52,501
638,50,349
638,0,365
638,983,380
640,692,326
645,872,673
648,919,445
655,877,423
657,83,272
657,568,293
662,892,399
670,988,360
670,7,420
670,111,502
685,15,406
686,399,334
686,113,368
686,888,460
689,947,521
692,962,410
692,91,531
704,119,410
704,64,414
705,291,313
705,789,330
705,542,333
705,59,347
709,34,466
717,51,369
717,930,373
722,814,280
722,54,283
724,106,287
724,670,288
724,360,289
724,855,385
724,76,430
728,20,358
728,883,369
731,996,578
732,69,383
732,924,442
738,939,591
758,9,292
758,93,324
758,863,425
765,839,375
773,827,528
781,38,355
784,823,539
785,90,276
785,864,276
785,309,291
785,24,392
789,982,404
798,896,380
798,950,402
804,80,461
814,804,329
814,942,398
819,936,403
822,52,501
825,621,602
826,819,182
826,451,214
826,627,266
826,230,286
826,491,298
826,382,301
828,232,742
828,543,797
828,174,810
828,696,813
831,598,578
831,761,632
834,485,593
837,158,391
837,14,486
838,783,484
839,98,458
840,22,413
840,844,425
841,131,349
843,909,421
843,122,442
843,605,470
843,979,497
844,660,646
850,328,537
851,641,574
852,471,501
854,880,694
855,395,468
856,72,415
856,92,420
856,86,455
856,968,458
856,630,483
856,300,546
858,529,528
858,472,601
860,848,527
861,375,625
862,36,386
862,478,526
864,991,373
864,586,384
865,579,599
865,963,640
867,842,550
867,222,570
868,82,486
868,889,559
868,608,615
869,912,606
870,294,662
871,644,607
871,180,667
873,299,479
873,507,498
874,940,511
874,489,550
875,524,463
877,78,555
879,30,368
879,334,399
879,420,460
881,19,516
881,21,553
883,851,474
884,287,551
884,585,577
885,271,644
888,164,576
890,495,270
890,100,294
890,157,316
890,128,360
890,984,371
891,672,607
891,470,641
892,964,538
892,403,575
893,234,347
893,28,352
893,431,420
895,553,611
896,867,455
896,402,511
902,255,313
902,130,327
902,938,337
902,918,342
902,906,343
902,709,380
902,65,443
902,949,444
904,536,604
908,953,570
909,619,551
910,323,477
910,757,548
911,253,614
912,907,726
914,970,513
914,129,515
915,826,132
915,705,255
915,841,273
915,239,312
915,409,319
915,662,321
915,625,350
916,784,434
918,831,428
920,717,291
920,607,295
920,383,316
920,986,345
920,817,372
920,592,402
921,256,521
921,646,535
922,228,580
925,856,363
925,337,409
925,853,437
925,904,481
926,796,592
929,908,474
930,149,451
933,688,514
933,878,530
933,386,562
933,913,570
935,790,724
936,376,541
936,509,587
937,261,690
938,268,412
938,63,428
941,87,459
942,301,450
942,735,473
942,980,474
942,248,488
942,993,590
943,191,574
943,494,611
944,581,479
944,923,505
945,84,565
946,449,879
947,123,598
947,81,599
951,897,630
952,948,706
953,737,680
953,144,710
954,298,504
957,195,657
958,231,615
961,133,496
961,257,641
964,425,712
965,546,613
965,504,616
